source,destination,amount,timestamp,channel,is_suspicious
ACC_N_279,ACC_N_49,1412.29,2026-03-22T22:18:44.628514,ACH,False
ACC_N_293,ACC_N_50,957.65,2026-03-24T05:18:44.628514,ACH,False
ACC_N_308,ACC_N_50,4924.32,2026-03-31T21:18:44.628514,ACH,False
ACC_N_49,ACC_N_51,4428.73,2026-03-06T21:18:44.628514,ACH,False
ACC_N_191,ACC_N_51,432.5,2026-03-31T00:18:44.628514,ACH,False
ACC_N_306,ACC_N_51,4049.49,2026-03-05T04:18:44.628514,ACH,False
ACC_N_400,ACC_N_51,377.87,2026-03-18T00:18:44.628514,ACH,False
ACC_N_440,ACC_N_51,556.0,2026-03-05T08:18:44.628514,ACH,False
ACC_N_488,ACC_N_51,559.82,2026-03-29T04:18:44.628514,ACH,False
ACC_N_128,ACC_N_52,220.12,2026-04-02T20:18:44.628514,ACH,False
ACC_N_249,ACC_N_52,1325.1,2026-03-26T05:18:44.628514,ACH,False
ACC_N_295,ACC_N_52,669.12,2026-03-18T07:18:44.628514,ACH,False
ACC_N_372,ACC_N_52,3439.27,2026-03-25T07:18:44.628514,ACH,False
ACC_N_109,ACC_N_53,1840.32,2026-03-08T19:18:44.628514,ACH,False
ACC_N_481,ACC_N_53,711.86,2026-03-09T14:18:44.628514,ACH,False
ACC_N_220,ACC_N_54,365.32,2026-03-12T12:18:44.628514,ACH,False
ACC_N_408,ACC_N_54,2380.34,2026-04-02T11:18:44.628514,ACH,False
ACC_N_455,ACC_N_54,4116.68,2026-03-17T19:18:44.628514,ACH,False
ACC_N_392,ACC_N_55,1726.69,2026-03-24T23:18:44.628514,ACH,False
ACC_N_23,ACC_N_56,3555.68,2026-03-18T23:18:44.628514,ACH,False
ACC_N_205,ACC_N_56,2743.59,2026-03-20T08:18:44.628514,ACH,False
ACC_N_414,ACC_N_56,2737.22,2026-03-24T20:18:44.628514,ACH,False
ACC_N_105,ACC_N_57,3772.25,2026-03-08T03:18:44.628514,ACH,False
ACC_N_221,ACC_N_57,2752.71,2026-03-16T09:18:44.628514,ACH,False
ACC_N_478,ACC_N_57,3422.6,2026-03-15T09:18:44.628514,ACH,False
ACC_N_179,ACC_N_58,3613.75,2026-03-19T12:18:44.628514,ACH,False
ACC_N_252,ACC_N_58,1012.25,2026-03-29T20:18:44.628514,ACH,False
ACC_N_282,ACC_N_58,4867.08,2026-03-14T20:18:44.628514,ACH,False
ACC_N_305,ACC_N_58,378.56,2026-03-05T08:18:44.628514,ACH,False
ACC_N_73,ACC_N_59,2214.04,2026-03-29T19:18:44.628514,ACH,False
ACC_N_186,ACC_N_59,1174.13,2026-03-24T15:18:44.628514,ACH,False
ACC_N_290,ACC_N_59,539.8,2026-03-16T19:18:44.628514,ACH,False
ACC_N_55,ACC_N_60,1822.62,2026-03-24T11:18:44.628514,ACH,False
ACC_N_101,ACC_N_60,3514.26,2026-03-24T04:18:44.628514,ACH,False
ACC_N_302,ACC_N_60,2837.68,2026-03-08T07:18:44.628514,ACH,False
ACC_N_371,ACC_N_60,2655.68,2026-03-17T08:18:44.628514,ACH,False
ACC_N_281,ACC_N_61,639.94,2026-03-10T06:18:44.628514,ACH,False
ACC_N_285,ACC_N_61,4776.47,2026-03-30T08:18:44.628514,ACH,False
ACC_N_333,ACC_N_61,546.55,2026-03-19T17:18:44.628514,ACH,False
ACC_N_385,ACC_N_61,2321.96,2026-03-19T05:18:44.628514,ACH,False
ACC_N_427,ACC_N_61,3450.33,2026-03-31T11:18:44.628514,ACH,False
ACC_N_368,ACC_N_62,3153.42,2026-03-11T14:18:44.628514,ACH,False
ACC_N_427,ACC_N_62,2712.49,2026-03-13T10:18:44.628514,ACH,False
ACC_N_13,ACC_N_63,346.72,2026-03-17T08:18:44.628514,ACH,False
ACC_N_208,ACC_N_63,1201.33,2026-03-14T22:18:44.628514,ACH,False
ACC_N_244,ACC_N_63,495.62,2026-03-04T23:18:44.628514,ACH,False
ACC_N_89,ACC_N_64,4174.52,2026-03-08T19:18:44.628514,ACH,False
ACC_N_158,ACC_N_64,2304.73,2026-03-24T03:18:44.628514,ACH,False
ACC_N_11,ACC_N_65,3458.34,2026-03-20T23:18:44.628514,ACH,False
ACC_N_148,ACC_N_65,4527.32,2026-03-31T11:18:44.628514,ACH,False
ACC_N_207,ACC_N_65,1134.28,2026-03-23T11:18:44.628514,ACH,False
ACC_N_213,ACC_N_66,4133.47,2026-03-17T01:18:44.628514,ACH,False
ACC_N_258,ACC_N_66,2077.3,2026-03-22T18:18:44.628514,ACH,False
ACC_N_210,ACC_N_67,2813.57,2026-03-07T06:18:44.628514,ACH,False
ACC_N_293,ACC_N_67,3926.27,2026-03-26T22:18:44.628514,ACH,False
ACC_N_327,ACC_N_67,929.15,2026-03-31T09:18:44.628514,ACH,False
ACC_N_238,ACC_N_68,4824.04,2026-04-02T10:18:44.628514,ACH,False
ACC_N_111,ACC_N_69,4767.7,2026-03-10T08:18:44.628514,ACH,False
ACC_N_134,ACC_N_69,3018.45,2026-03-23T07:18:44.628514,ACH,False
ACC_N_154,ACC_N_69,2761.5,2026-03-22T11:18:44.628514,ACH,False
ACC_N_57,ACC_N_70,4952.4,2026-03-27T11:18:44.628514,ACH,False
ACC_N_58,ACC_N_70,499.81,2026-03-28T13:18:44.628514,ACH,False
ACC_N_340,ACC_N_70,3808.33,2026-03-25T19:18:44.628514,ACH,False
ACC_N_349,ACC_N_70,619.67,2026-03-13T23:18:44.628514,ACH,False
ACC_N_407,ACC_N_70,1883.63,2026-03-16T17:18:44.628514,ACH,False
ACC_N_4,ACC_N_71,483.17,2026-04-01T08:18:44.628514,ACH,False
ACC_N_157,ACC_N_71,4651.08,2026-03-07T04:18:44.628514,ACH,False
ACC_N_184,ACC_N_71,2377.59,2026-04-02T17:18:44.628514,ACH,False
ACC_N_238,ACC_N_71,221.08,2026-03-06T07:18:44.628514,ACH,False
ACC_N_154,ACC_N_72,4864.35,2026-03-30T05:18:44.628514,ACH,False
ACC_N_214,ACC_N_72,717.06,2026-03-10T06:18:44.628514,ACH,False
ACC_N_85,ACC_N_73,1888.66,2026-03-30T21:18:44.628514,ACH,False
ACC_N_310,ACC_N_74,4432.34,2026-03-11T19:18:44.628514,ACH,False
ACC_N_407,ACC_N_74,2337.88,2026-03-31T14:18:44.628514,ACH,False
ACC_N_500,ACC_N_74,739.32,2026-03-25T10:18:44.628514,ACH,False
ACC_N_59,ACC_N_75,2763.95,2026-03-10T18:18:44.628514,ACH,False
ACC_N_322,ACC_N_75,2826.56,2026-03-12T21:18:44.628514,ACH,False
ACC_N_478,ACC_N_75,4220.34,2026-03-28T14:18:44.628514,ACH,False
ACC_N_106,ACC_N_76,2676.61,2026-03-04T21:18:44.628514,ACH,False
ACC_N_196,ACC_N_76,4180.62,2026-03-12T14:18:44.628514,ACH,False
ACC_N_223,ACC_N_76,4727.65,2026-03-27T11:18:44.628514,ACH,False
ACC_N_367,ACC_N_77,1215.71,2026-03-19T23:18:44.628514,ACH,False
ACC_N_454,ACC_N_78,2140.76,2026-03-23T18:18:44.628514,ACH,False
ACC_N_500,ACC_N_78,155.42,2026-03-20T09:18:44.628514,ACH,False
ACC_N_16,ACC_N_79,198.56,2026-03-13T21:18:44.628514,ACH,False
ACC_N_80,ACC_N_79,1717.54,2026-03-29T05:18:44.628514,ACH,False
ACC_N_254,ACC_N_79,1359.04,2026-03-28T22:18:44.628514,ACH,False
ACC_N_369,ACC_N_79,1688.33,2026-03-11T01:18:44.628514,ACH,False
ACC_N_429,ACC_N_79,700.58,2026-03-12T09:18:44.628514,ACH,False
ACC_N_474,ACC_N_79,4876.82,2026-03-06T01:18:44.628514,ACH,False
ACC_N_500,ACC_N_79,3796.79,2026-03-20T17:18:44.628514,ACH,False
ACC_N_164,ACC_N_82,4097.56,2026-03-06T09:18:44.628514,ACH,False
ACC_N_206,ACC_N_82,822.06,2026-03-17T09:18:44.628514,ACH,False
ACC_N_394,ACC_N_83,1849.58,2026-03-12T00:18:44.628514,ACH,False
ACC_N_211,ACC_N_84,1939.05,2026-03-11T08:18:44.628514,ACH,False
ACC_N_483,ACC_N_84,1592.75,2026-03-11T20:18:44.628514,ACH,False
ACC_N_226,ACC_N_85,3477.67,2026-03-29T00:18:44.628514,ACH,False
ACC_N_371,ACC_N_85,1087.96,2026-03-06T04:18:44.628514,ACH,False
ACC_N_465,ACC_N_85,930.59,2026-03-09T13:18:44.628514,ACH,False
ACC_N_478,ACC_N_85,2567.42,2026-03-10T07:18:44.628514,ACH,False
ACC_N_60,ACC_N_86,2025.17,2026-03-12T11:18:44.628514,ACH,False
ACC_N_227,ACC_N_86,2312.85,2026-03-06T09:18:44.628514,ACH,False
ACC_N_256,ACC_N_86,3536.98,2026-03-16T10:18:44.628514,ACH,False
ACC_N_403,ACC_N_86,2999.28,2026-03-31T13:18:44.628514,ACH,False
ACC_N_17,ACC_N_87,574.37,2026-03-15T15:18:44.628514,ACH,False
ACC_N_278,ACC_N_87,2008.47,2026-03-16T13:18:44.628514,ACH,False
ACC_N_385,ACC_N_87,4983.84,2026-03-12T22:18:44.628514,ACH,False
ACC_N_480,ACC_N_87,1405.3,2026-03-16T10:18:44.628514,ACH,False
ACC_N_496,ACC_N_87,1100.77,2026-03-24T01:18:44.628514,ACH,False
ACC_N_180,ACC_N_88,3115.01,2026-03-15T17:18:44.628514,ACH,False
ACC_N_104,ACC_N_89,3714.7,2026-03-05T06:18:44.628514,ACH,False
ACC_N_163,ACC_N_89,4189.84,2026-04-01T16:18:44.628514,ACH,False
ACC_N_355,ACC_N_89,3586.3,2026-03-25T02:18:44.628514,ACH,False
ACC_N_375,ACC_N_89,3349.94,2026-04-02T11:18:44.628514,ACH,False
ACC_N_428,ACC_N_89,4741.25,2026-03-22T15:18:44.628514,ACH,False
ACC_N_477,ACC_N_89,4495.83,2026-03-19T21:18:44.628514,ACH,False
ACC_N_497,ACC_N_89,628.76,2026-03-08T13:18:44.628514,ACH,False
ACC_N_77,ACC_N_91,1090.55,2026-03-30T06:18:44.628514,ACH,False
ACC_N_393,ACC_N_91,3095.38,2026-03-13T17:18:44.628514,ACH,False
ACC_N_66,ACC_N_92,4492.72,2026-04-01T04:18:44.628514,ACH,False
ACC_N_112,ACC_N_92,1294.56,2026-03-22T10:18:44.628514,ACH,False
ACC_N_129,ACC_N_92,3016.79,2026-03-21T04:18:44.628514,ACH,False
ACC_N_450,ACC_N_92,3458.57,2026-03-27T12:18:44.628514,ACH,False
ACC_N_77,ACC_N_93,4785.4,2026-03-30T23:18:44.628514,ACH,False
ACC_N_259,ACC_N_93,2502.77,2026-03-27T00:18:44.628514,ACH,False
ACC_N_425,ACC_N_93,1603.68,2026-03-15T08:18:44.628514,ACH,False
ACC_N_473,ACC_N_93,3644.63,2026-03-30T08:18:44.628514,ACH,False
ACC_N_62823,ACC_N_93,7077.23,2026-04-03T15:53:01.756Z,Live,False
ACC_N_208,ACC_N_94,3102.03,2026-03-11T22:18:44.628514,ACH,False
ACC_N_240,ACC_N_94,2661.49,2026-03-06T01:18:44.628514,ACH,False
ACC_N_438,ACC_N_95,2376.78,2026-03-06T22:18:44.628514,ACH,False
ACC_N_481,ACC_N_95,4923.38,2026-03-24T15:18:44.628514,ACH,False
ACC_N_46,ACC_N_96,1162.23,2026-03-08T05:18:44.628514,ACH,False
ACC_N_285,ACC_N_96,364.23,2026-03-26T00:18:44.628514,ACH,False
ACC_N_354,ACC_N_96,4040.21,2026-03-15T00:18:44.628514,ACH,False
ACC_N_47,ACC_N_97,2668.02,2026-03-17T02:18:44.628514,ACH,False
ACC_N_91,ACC_N_97,3779.33,2026-03-30T03:18:44.628514,ACH,False
ACC_N_67,ACC_N_98,496.74,2026-04-01T11:18:44.628514,ACH,False
ACC_N_137,ACC_N_98,1895.82,2026-03-24T04:18:44.628514,ACH,False
ACC_N_144,ACC_N_98,2625.3,2026-03-06T14:18:44.628514,ACH,False
ACC_N_236,ACC_N_98,4042.9,2026-03-22T05:18:44.628514,ACH,False
ACC_N_402,ACC_N_98,4380.48,2026-03-20T10:18:44.628514,ACH,False
ACC_N_93,ACC_N_99,4107.06,2026-03-23T15:18:44.628514,ACH,False
ACC_N_259,ACC_N_100,1027.49,2026-03-10T14:18:44.628514,ACH,False
ACC_N_201,ACC_N_101,1668.0,2026-03-16T00:18:44.628514,ACH,False
ACC_N_415,ACC_N_101,4039.75,2026-03-07T02:18:44.628514,ACH,False
ACC_N_265,ACC_N_102,4616.16,2026-03-11T20:18:44.628514,ACH,False
ACC_N_479,ACC_N_102,4881.53,2026-03-18T09:18:44.628514,ACH,False
ACC_N_130,ACC_N_103,1425.63,2026-04-02T12:18:44.628514,ACH,False
ACC_N_164,ACC_N_103,171.5,2026-03-30T06:18:44.628514,ACH,False
ACC_N_291,ACC_N_103,1197.28,2026-03-12T18:18:44.628514,ACH,False
ACC_N_443,ACC_N_103,3771.64,2026-03-07T22:18:44.628514,ACH,False
ACC_N_45,ACC_N_104,4129.4,2026-03-11T22:18:44.628514,ACH,False
ACC_N_81,ACC_N_104,809.71,2026-03-23T17:18:44.628514,ACH,False
ACC_N_135,ACC_N_104,3213.1,2026-03-17T06:18:44.628514,ACH,False
ACC_N_286,ACC_N_104,1061.73,2026-03-19T12:18:44.628514,ACH,False
ACC_N_499,ACC_N_104,4381.03,2026-03-05T10:18:44.628514,ACH,False
ACC_N_47,ACC_N_105,1023.76,2026-03-31T00:18:44.628514,ACH,False
ACC_N_101,ACC_N_105,3154.24,2026-03-27T14:18:44.628514,ACH,False
ACC_N_135,ACC_N_105,2934.51,2026-03-20T09:18:44.628514,ACH,False
ACC_N_295,ACC_N_105,4537.63,2026-03-30T21:18:44.628514,ACH,False
ACC_N_347,ACC_N_105,3195.58,2026-03-22T15:18:44.628514,ACH,False
ACC_N_18,ACC_N_107,672.83,2026-03-29T20:18:44.628514,ACH,False
ACC_N_63,ACC_N_107,1263.21,2026-03-15T00:18:44.628514,ACH,False
ACC_N_152,ACC_N_107,1903.97,2026-03-30T10:18:44.628514,ACH,False
ACC_N_245,ACC_N_107,2128.72,2026-03-31T20:18:44.628514,ACH,False
ACC_N_469,ACC_N_107,2816.0,2026-03-13T22:18:44.628514,ACH,False
ACC_N_153,ACC_N_109,263.12,2026-03-28T10:18:44.628514,ACH,False
ACC_N_186,ACC_N_109,1831.11,2026-03-25T17:18:44.628514,ACH,False
ACC_N_429,ACC_N_109,1359.79,2026-03-17T07:18:44.628514,ACH,False
ACC_N_53,ACC_N_110,3559.07,2026-03-28T22:18:44.628514,ACH,False
ACC_N_378,ACC_N_110,990.86,2026-03-17T07:18:44.628514,ACH,False
ACC_N_495,ACC_N_110,1036.76,2026-03-31T19:18:44.628514,ACH,False
ACC_N_1,ACC_N_110,2728.33,2026-03-07T14:18:44.628514,ACH,False
ACC_N_81,ACC_N_111,4192.9,2026-03-29T09:18:44.628514,ACH,False
ACC_N_88,ACC_N_111,378.9,2026-03-08T05:18:44.628514,ACH,False
ACC_N_160,ACC_N_111,2162.78,2026-03-27T20:18:44.628514,ACH,False
ACC_N_171,ACC_N_111,3195.53,2026-03-18T09:18:44.628514,ACH,False
ACC_N_282,ACC_N_111,3041.73,2026-03-14T06:18:44.628514,ACH,False
ACC_N_343,ACC_N_111,2107.88,2026-03-31T18:18:44.628514,ACH,False
ACC_N_358,ACC_N_111,2752.08,2026-03-10T07:18:44.628514,ACH,False
ACC_N_377,ACC_N_111,301.52,2026-03-20T05:18:44.628514,ACH,False
ACC_N_100,ACC_N_112,1997.08,2026-03-13T23:18:44.628514,ACH,False
ACC_N_157,ACC_N_112,1350.46,2026-03-17T00:18:44.628514,ACH,False
ACC_N_404,ACC_N_112,2039.4,2026-03-27T04:18:44.628514,ACH,False
ACC_N_29,ACC_N_113,2008.36,2026-03-06T17:18:44.628514,ACH,False
